Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine47),Vaccinated,VaccineExpired
1960.5,1,1,0,13,178,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,14,208,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,15,185,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,16,185,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,17,152,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,18,148,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,19,141,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,20,152,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,21,145,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,22,145,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,23,137,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,24,141,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,25,128,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,26,143,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,27,120,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,28,134,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,29,121,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,30,130,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,31,121,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,32,122,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,33,114,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,34,130,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,35,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,36,102,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,37,103,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,38,91,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,39,96,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,40,88,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,41,72,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,42,104,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,43,90,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,44,67,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,45,99,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,46,76,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,47,69,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,48,70,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,1,0,49,80,0,0,0,0,0,0,0,0,0,0,0,0,0
